,Input dims,Input size,"Sparsities (input, other)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,2,"[(1581, 1581), (1581, 1581)]",0 ; 0,4999122,9.998244,20.97152,0.00017096525058150292(0.0)
1,2,"[(1774, 1774), (1774, 1774)]",0 ; 0,6294152,12.588304,20.97152,0.00014094267040491105(0.0)
2,2,"[(1948, 1948), (1948, 1948)]",0 ; 0,7589408,15.178816,41.94304,0.00023925996152684092(0.0)
3,2,"[(2108, 2108), (2108, 2108)]",0 ; 0,8887328,17.774656,41.94304,0.0002524542110040784(0.0)
4,2,"[(2256, 2256), (2256, 2256)]",0 ; 0,10179072,20.358144,41.94304,0.00012575196102261545(0.0)
5,2,"[(2395, 2395), (2395, 2395)]",0 ; 0,11472050,22.9441,37.748736,0.0005141468811780214(0.0)
6,2,"[(2527, 2527), (2527, 2527)]",0 ; 0,12771458,25.542916,44.040192,0.0005550378002226353(0.0)
7,2,"[(2652, 2652), (2652, 2652)]",0 ; 0,14066208,28.132416,44.040192,0.00046047030016779897(0.0)
8,2,"[(2772, 2772), (2772, 2772)]",0 ; 0,15367968,30.735936,50.331648,0.0005224802391603589(0.0)
9,2,"[(2886, 2886), (2886, 2886)]",0 ; 0,16657992,33.315984,50.331648,0.0005507642310112714(0.0)
10,2,"[(2996, 2996), (2996, 2996)]",0 ; 0,17952032,35.904064,56.623104,0.0005589930806308985(0.0)
11,2,"[(3103, 3103), (3103, 3103)]",0 ; 0,19257218,38.514436,62.91456,0.001089393300935626(0.0)
12,2,"[(3205, 3205), (3205, 3205)]",0 ; 0,20544050,41.0881,62.91456,0.0012195868487469852(0.0)
13,2,"[(3305, 3305), (3305, 3305)]",0 ; 0,21846050,43.6921,69.206016,0.0014044931484386324(0.0)
14,2,"[(3402, 3402), (3402, 3402)]",0 ; 0,23147208,46.294416,75.497472,0.0008538160007447004(0.0)
15,2,"[(3496, 3496), (3496, 3496)]",0 ; 0,24444032,48.888064,75.497472,0.0005514220683835447(0.0)
16,2,"[(3587, 3587), (3587, 3587)]",0 ; 0,25733138,51.466276,81.788928,0.0015860637510195375(0.0)
17,2,"[(3676, 3676), (3676, 3676)]",0 ; 0,27025952,54.051904,81.788928,0.0010424959287047386(0.0)
18,2,"[(3763, 3763), (3763, 3763)]",0 ; 0,28320338,56.640676,88.080384,0.0019194673211313784(0.0)
19,2,"[(3849, 3849), (3849, 3849)]",0 ; 0,29629602,59.259204,94.37184,0.0020989094884134828(0.0)
20,2,"[(3932, 3932), (3932, 3932)]",0 ; 0,30921248,61.842496,94.37184,0.0011942202993668616(0.0)
21,2,"[(4013, 4013), (4013, 4013)]",0 ; 0,32208338,64.416676,100.663296,0.0021307543991133573(0.0)
22,2,"[(4093, 4093), (4093, 4093)]",0 ; 0,33505298,67.010596,100.663296,0.0019827541895210744(0.0)
23,2,"[(4172, 4172), (4172, 4172)]",0 ; 0,34811168,69.622336,106.954752,0.0014989643916487694(0.0)
24,2,"[(4249, 4249), (4249, 4249)]",0 ; 0,36108002,72.216004,113.246208,0.0026717487699352204(0.0)
25,2,"[(4324, 4324), (4324, 4324)]",0 ; 0,37393952,74.787904,113.246208,0.0015631331107579171(0.0)
26,2,"[(4399, 4399), (4399, 4399)]",0 ; 0,38702402,77.404804,119.537664,0.002810510229319334(0.0)
27,2,"[(4472, 4472), (4472, 4472)]",0 ; 0,39997568,79.995136,125.82912,0.0009228129708208143(0.0)
28,2,"[(4544, 4544), (4544, 4544)]",0 ; 0,41295872,82.591744,125.82912,0.0008572186389937997(0.0)
29,2,"[(4614, 4614), (4614, 4614)]",0 ; 0,42577992,85.155984,132.120576,0.0018200732208788395(0.0)
30,2,"[(4684, 4684), (4684, 4684)]",0 ; 0,43879712,87.759424,132.120576,0.001999241670127958(0.0)
31,2,"[(4753, 4753), (4753, 4753)]",0 ; 0,45182018,90.364036,138.412032,0.0034735633991658686(0.0)
32,2,"[(4820, 4820), (4820, 4820)]",0 ; 0,46464800,92.9296,144.703488,0.0020492814015597104(0.0)
33,2,"[(4887, 4887), (4887, 4887)]",0 ; 0,47765538,95.531076,144.703488,0.0039012366998940704(0.0)
34,2,"[(4953, 4953), (4953, 4953)]",0 ; 0,49064418,98.128836,150.994944,0.004095434499904513(0.0)
35,2,"[(5018, 5018), (5018, 5018)]",0 ; 0,50360648,100.721296,157.2864,0.002438833341002464(0.0)
36,2,"[(5082, 5082), (5082, 5082)]",0 ; 0,51653448,103.306896,157.2864,0.0024640625389292835(0.0)
37,2,"[(5146, 5146), (5146, 5146)]",0 ; 0,52962632,105.925264,163.577856,0.002482394711114466(0.0)
38,2,"[(5208, 5208), (5208, 5208)]",0 ; 0,54246528,108.493056,163.577856,0.0014129185397177934(0.0)
39,2,"[(5270, 5270), (5270, 5270)]",0 ; 0,55545800,111.0916,169.869312,0.002824980861041695(0.0)
40,2,"[(5331, 5331), (5331, 5331)]",0 ; 0,56839122,113.678244,176.160768,0.004919915399514138(0.0)
41,2,"[(5392, 5392), (5392, 5392)]",0 ; 0,58147328,116.294656,176.160768,0.0015153751615434885(0.0)
42,2,"[(5451, 5451), (5451, 5451)]",0 ; 0,59426802,118.853604,182.452224,0.005038282920140773(0.0)
43,2,"[(5510, 5510), (5510, 5510)]",0 ; 0,60720200,121.4404,182.452224,0.0028972625499591232(0.0)
44,2,"[(5569, 5569), (5569, 5569)]",0 ; 0,62027522,124.055044,188.74368,0.0051684706099331375(0.0)
45,2,"[(5627, 5627), (5627, 5627)]",0 ; 0,63326258,126.652516,195.035136,0.005018314209301025(0.0)
46,2,"[(5684, 5684), (5684, 5684)]",0 ; 0,64615712,129.231424,195.035136,0.0034121161210350693(0.0)
47,2,"[(5741, 5741), (5741, 5741)]",0 ; 0,65918162,131.836324,201.326592,0.005953568669501692(0.0)
48,2,"[(5797, 5797), (5797, 5797)]",0 ; 0,67210418,134.420836,207.618048,0.0060498368204571305(0.0)
